Labor Force Data by County									
LAUS_Code	 State_FIPS_Code	 County_FIPS_Code	 County_Name_State_Abbreviation	Year	EMPTY	Force	Employed	Unemployed	 UnemploymentPercentage
CN1718900000000	17	189	"Washington County, IL"	2010		"8,295"	"7,639"	656	7.9
CN1719100000000	17	191	"Wayne County, IL"	2010		"8,167"	"7,369"	798	9.8
CN1719300000000	17	193	"White County, IL"	2010		"7,831"	"7,147"	684	8.7
CN1719500000000	17	195	"Whiteside County, IL"	2010		"29,928"	"26,661"	"3,267"	10.9
CN1719700000000	17	197	"Will County, IL"	2010		"367,315"	"328,134"	"39,181"	10.7
CN1719900000000	17	199	"Williamson County, IL"	2010		"35,509"	"32,134"	"3,375"	9.5
CN1720100000000	17	201	"Winnebago County, IL"	2010		"144,675"	"122,553"	"22,122"	15.3
CN1720300000000	17	203	"Woodford County, IL"	2010		"20,995"	"19,264"	"1,731"	8.2
CN1800100000000	18	1	"Adams County, IN"	2010		"15,034"	"13,437"	"1,597"	10.6
CN1800300000000	18	3	"Allen County, IN"	2010		"176,620"	"158,167"	"18,453"	10.4
CN1800500000000	18	5	"Bartholomew County, IN"	2010		"37,974"	"34,438"	"3,536"	9.3
CN1800700000000	18	7	"Benton County, IN"	2010		"4,229"	"3,795"	434	10.3
CN1800900000000	18	9	"Blackford County, IN"	2010		"6,295"	"5,483"	812	12.9
CN1801100000000	18	11	"Boone County, IN"	2010		"27,912"	"25,745"	"2,167"	7.8
CN1801300000000	18	13	"Brown County, IN"	2010		"7,630"	"6,896"	734	9.6
CN1801500000000	18	15	"Carroll County, IN"	2010		"9,671"	"8,746"	925	9.6
CN1801700000000	18	17	"Cass County, IN"	2010		"18,353"	"16,370"	"1,983"	10.8
CN1801900000000	18	19	"Clark County, IN"	2010		"55,320"	"50,128"	"5,192"	9.4
CN1802100000000	18	21	"Clay County, IN"	2010		"12,726"	"11,373"	"1,353"	10.6
CN1802300000000	18	23	"Clinton County, IN"	2010		"16,672"	"15,007"	"1,665"	10
CN1802500000000	18	25	"Crawford County, IN"	2010		"5,213"	"4,598"	615	11.8
CN1802700000000	18	27	"Daviess County, IN"	2010		"14,909"	"13,984"	925	6.2
CN1802900000000	18	29	"Dearborn County, IN"	2010		"25,936"	"23,215"	"2,721"	10.5
CN1803100000000	18	31	"Decatur County, IN"	2010		"12,315"	"10,864"	"1,451"	11.8
CN1803300000000	18	33	"DeKalb County, IN"	2010		"20,006"	"17,635"	"2,371"	11.9
CN1803500000000	18	35	"Delaware County, IN"	2010		"54,142"	"48,034"	"6,108"	11.3
CN1803700000000	18	37	"Dubois County, IN"	2010		"21,785"	"20,142"	"1,643"	7.5
CN1803900000000	18	39	"Elkhart County, IN"	2010		"90,184"	"77,998"	"12,186"	13.5
CN1804100000000	18	41	"Fayette County, IN"	2010		"9,478"	"8,099"	"1,379"	14.5
CN1804300000000	18	43	"Floyd County, IN"	2010		"36,885"	"33,621"	"3,264"	8.8
CN1804500000000	18	45	"Fountain County, IN"	2010		"8,544"	"7,564"	980	11.5
CN1804700000000	18	47	"Franklin County, IN"	2010		"11,544"	"10,306"	"1,238"	10.7
CN1804900000000	18	49	"Fulton County, IN"	2010		"10,145"	"9,010"	"1,135"	11.2
CN1805100000000	18	51	"Gibson County, IN"	2010		"16,716"	"15,412"	"1,304"	7.8
CN1805300000000	18	53	"Grant County, IN"	2010		"32,805"	"29,041"	"3,764"	11.5
CN1805500000000	18	55	"Greene County, IN"	2010		"15,509"	"14,079"	"1,430"	9.2
CN1805700000000	18	57	"Hamilton County, IN"	2010		"140,445"	"130,673"	"9,772"	7
CN1805900000000	18	59	"Hancock County, IN"	2010		"36,439"	"33,172"	"3,267"	9
CN1806100000000	18	61	"Harrison County, IN"	2010		"19,739"	"17,951"	"1,788"	9.1
CN1806300000000	18	63	"Hendricks County, IN"	2010		"74,926"	"69,018"	"5,908"	7.9
CN1806500000000	18	65	"Henry County, IN"	2010		"22,123"	"19,214"	"2,909"	13.1
CN1806700000000	18	67	"Howard County, IN"	2010		"35,098"	"30,750"	"4,348"	12.4
CN1806900000000	18	69	"Huntington County, IN"	2010		"19,705"	"17,516"	"2,189"	11.1
CN1807100000000	18	71	"Jackson County, IN"	2010		"21,267"	"19,188"	"2,079"	9.8
CN1807300000000	18	73	"Jasper County, IN"	2010		"15,543"	"13,972"	"1,571"	10.1
CN1807500000000	18	75	"Jay County, IN"	2010		"11,332"	"10,238"	"1,094"	9.7
CN1807700000000	18	77	"Jefferson County, IN"	2010		"16,274"	"14,553"	"1,721"	10.6
CN1807900000000	18	79	"Jennings County, IN"	2010		"13,596"	"11,932"	"1,664"	12.2
CN1808100000000	18	81	"Johnson County, IN"	2010		"72,252"	"66,152"	"6,100"	8.4
CN1808300000000	18	83	"Knox County, IN"	2010		"20,282"	"18,811"	"1,471"	7.3
CN1808500000000	18	85	"Kosciusko County, IN"	2010		"41,350"	"37,173"	"4,177"	10.1
CN1808700000000	18	87	"LaGrange County, IN"	2010		"15,615"	"13,692"	"1,923"	12.3
CN1808900000000	18	89	"Lake County, IN"	2010		"221,290"	"197,030"	"24,260"	11
CN1809100000000	18	91	"LaPorte County, IN"	2010		"51,169"	"45,099"	"6,070"	11.9
CN1809300000000	18	93	"Lawrence County, IN"	2010		"21,599"	"19,059"	"2,540"	11.8
CN1809500000000	18	95	"Madison County, IN"	2010		"61,569"	"54,577"	"6,992"	11.4
CN1809700000000	18	97	"Marion County, IN"	2010		"458,058"	"412,497"	"45,561"	9.9
CN1809900000000	18	99	"Marshall County, IN"	2010		"22,368"	"19,806"	"2,562"	11.5
CN1810100000000	18	101	"Martin County, IN"	2010		"5,511"	"5,126"	385	7
CN1810300000000	18	103	"Miami County, IN"	2010		"15,574"	"13,594"	"1,980"	12.7
CN1810500000000	18	105	"Monroe County, IN"	2010		"70,783"	"65,609"	"5,174"	7.3
CN1810700000000	18	107	"Montgomery County, IN"	2010		"18,640"	"16,780"	"1,860"	10
CN1810900000000	18	109	"Morgan County, IN"	2010		"35,187"	"31,700"	"3,487"	9.9
CN1811100000000	18	111	"Newton County, IN"	2010		"6,845"	"6,118"	727	10.6
CN1811300000000	18	113	"Noble County, IN"	2010		"22,163"	"19,235"	"2,928"	13.2
CN1811500000000	18	115	"Ohio County, IN"	2010		"3,177"	"2,845"	332	10.5
CN1811700000000	18	117	"Orange County, IN"	2010		"10,309"	"9,187"	"1,122"	10.9
CN1811900000000	18	119	"Owen County, IN"	2010		"10,628"	"9,484"	"1,144"	10.8
CN1812100000000	18	121	"Parke County, IN"	2010		"7,827"	"7,025"	802	10.2
CN1812300000000	18	123	"Perry County, IN"	2010		"9,698"	"8,759"	939	9.7
CN1812500000000	18	125	"Pike County, IN"	2010		"5,937"	"5,409"	528	8.9
CN1812700000000	18	127	"Porter County, IN"	2010		"81,743"	"74,545"	"7,198"	8.8
CN1812900000000	18	129	"Posey County, IN"	2010		"12,896"	"11,894"	"1,002"	7.8
CN1813100000000	18	131	"Pulaski County, IN"	2010		"6,793"	"6,177"	616	9.1
CN1813300000000	18	133	"Putnam County, IN"	2010		"17,391"	"15,501"	"1,890"	10.9
CN1813500000000	18	135	"Randolph County, IN"	2010		"12,936"	"11,455"	"1,481"	11.4
CN1813700000000	18	137	"Ripley County, IN"	2010		"14,462"	"12,884"	"1,578"	10.9
CN1813900000000	18	139	"Rush County, IN"	2010		"8,990"	"8,057"	933	10.4
CN1814100000000	18	141	"St. Joseph County, IN"	2010		"127,026"	"112,541"	"14,485"	11.4
CN1814300000000	18	143	"Scott County, IN"	2010		"10,871"	"9,523"	"1,348"	12.4
CN1814500000000	18	145	"Shelby County, IN"	2010		"23,026"	"20,736"	"2,290"	9.9
CN1814700000000	18	147	"Spencer County, IN"	2010		"10,430"	"9,498"	932	8.9
CN1814900000000	18	149	"Starke County, IN"	2010		"10,693"	"9,352"	"1,341"	12.5
CN1815100000000	18	151	"Steuben County, IN"	2010		"16,309"	"14,329"	"1,980"	12.1
CN1815300000000	18	153	"Sullivan County, IN"	2010		"8,797"	"7,868"	929	10.6
CN1815500000000	18	155	"Switzerland County, IN"	2010		"5,628"	"5,172"	456	8.1
CN1815700000000	18	157	"Tippecanoe County, IN"	2010		"82,862"	"75,412"	"7,450"	9
CN1815900000000	18	159	"Tipton County, IN"	2010		"7,195"	"6,387"	808	11.2
CN1816100000000	18	161	"Union County, IN"	2010		"3,555"	"3,184"	371	10.4
CN1816300000000	18	163	"Vanderburgh County, IN"	2010		"91,983"	"84,013"	"7,970"	8.7
CN1816500000000	18	165	"Vermillion County, IN"	2010		"7,838"	"6,832"	"1,006"	12.8
CN1816700000000	18	167	"Vigo County, IN"	2010		"50,986"	"45,331"	"5,655"	11.1
CN1816900000000	18	169	"Wabash County, IN"	2010		"16,240"	"14,466"	"1,774"	10.9
CN1817100000000	18	171	"Warren County, IN"	2010		"4,769"	"4,340"	429	9
CN1817300000000	18	173	"Warrick County, IN"	2010		"31,269"	"28,865"	"2,404"	7.7
CN1817500000000	18	175	"Washington County, IN"	2010		"13,585"	"12,170"	"1,415"	10.4
CN1817700000000	18	177	"Wayne County, IN"	2010		"31,055"	"27,155"	"3,900"	12.6
CN1817900000000	18	179	"Wells County, IN"	2010		"13,887"	"12,579"	"1,308"	9.4
CN1818100000000	18	181	"White County, IN"	2010		"12,576"	"11,260"	"1,316"	10.5
CN1818300000000	18	183	"Whitley County, IN"	2010		"17,419"	"15,614"	"1,805"	10.4
CN1900100000000	19	1	"Adair County, IA"	2010		"4,253"	"4,018"	235	5.5
CN1900300000000	19	3	"Adams County, IA"	2010		"2,081"	"1,968"	113	5.4
CN1900500000000	19	5	"Allamakee County, IA"	2010		"7,745"	"7,097"	648	8.4
CN1900700000000	19	7	"Appanoose County, IA"	2010		"6,096"	"5,629"	467	7.7
CN1900900000000	19	9	"Audubon County, IA"	2010		"3,257"	"3,057"	200	6.1
CN1901100000000	19	11	"Benton County, IA"	2010		"14,280"	"13,327"	953	6.7
CN1901300000000	19	13	"Black Hawk County, IA"	2010		"74,427"	"69,828"	"4,599"	6.2
CN1901500000000	19	15	"Boone County, IA"	2010		"15,411"	"14,519"	892	5.8
CN1901700000000	19	17	"Bremer County, IA"	2010		"14,010"	"13,296"	714	5.1
CN1901900000000	19	19	"Buchanan County, IA"	2010		"11,028"	"10,314"	714	6.5
CN1902100000000	19	21	"Buena Vista County, IA"	2010		"10,846"	"10,281"	565	5.2
CN1902300000000	19	23	"Butler County, IA"	2010		"8,506"	"7,992"	514	6
CN1902500000000	19	25	"Calhoun County, IA"	2010		"5,157"	"4,877"	280	5.4
CN1902700000000	19	27	"Carroll County, IA"	2010		"12,278"	"11,752"	526	4.3
CN1902900000000	19	29	"Cass County, IA"	2010		"7,554"	"7,062"	492	6.5
CN1903100000000	19	31	"Cedar County, IA"	2010		"11,365"	"10,745"	620	5.5
CN1903300000000	19	33	"Cerro Gordo County, IA"	2010		"25,114"	"23,339"	"1,775"	7.1
CN1903500000000	19	35	"Cherokee County, IA"	2010		"6,781"	"6,448"	333	4.9
CN1903700000000	19	37	"Chickasaw County, IA"	2010		"6,722"	"6,220"	502	7.5
CN1903900000000	19	39	"Clarke County, IA"	2010		"4,829"	"4,447"	382	7.9
CN1904100000000	19	41	"Clay County, IA"	2010		"9,578"	"9,009"	569	5.9
CN1904300000000	19	43	"Clayton County, IA"	2010		"9,954"	"9,174"	780	7.8
CN1904500000000	19	45	"Clinton County, IA"	2010		"27,791"	"25,847"	"1,944"	7
CN1904700000000	19	47	"Crawford County, IA"	2010		"9,486"	"9,051"	435	4.6
CN1904900000000	19	49	"Dallas County, IA"	2010		"36,579"	"34,741"	"1,838"	5
CN1905100000000	19	51	"Davis County, IA"	2010		"3,985"	"3,664"	321	8.1
CN1905300000000	19	53	"Decatur County, IA"	2010		"4,274"	"3,990"	284	6.6
CN1905500000000	19	55	"Delaware County, IA"	2010		"10,722"	"10,068"	654	6.1
CN1905700000000	19	57	"Des Moines County, IA"	2010		"20,741"	"19,141"	"1,600"	7.7
CN1905900000000	19	59	"Dickinson County, IA"	2010		"9,335"	"8,678"	657	7
CN1906100000000	19	61	"Dubuque County, IA"	2010		"53,635"	"50,323"	"3,312"	6.2
CN1906300000000	19	63	"Emmet County, IA"	2010		"5,785"	"5,355"	430	7.4
CN1906500000000	19	65	"Fayette County, IA"	2010		"10,940"	"10,110"	830	7.6
CN1906700000000	19	67	"Floyd County, IA"	2010		"8,422"	"7,792"	630	7.5
CN1906900000000	19	69	"Franklin County, IA"	2010		"5,924"	"5,531"	393	6.6
CN1907100000000	19	71	"Fremont County, IA"	2010		"3,802"	"3,557"	245	6.4
CN1907300000000	19	73	"Greene County, IA"	2010		"4,984"	"4,670"	314	6.3
CN1907500000000	19	75	"Grundy County, IA"	2010		"6,970"	"6,553"	417	6
CN1907700000000	19	77	"Guthrie County, IA"	2010		"5,708"	"5,314"	394	6.9
CN1907900000000	19	79	"Hamilton County, IA"	2010		"7,773"	"7,152"	621	8
CN1908100000000	19	81	"Hancock County, IA"	2010		"5,655"	"5,239"	416	7.4
CN1908300000000	19	83	"Hardin County, IA"	2010		"9,093"	"8,467"	626	6.9
CN1908500000000	19	85	"Harrison County, IA"	2010		"7,343"	"6,949"	394	5.4
CN1908700000000	19	87	"Henry County, IA"	2010		"9,535"	"8,664"	871	9.1
CN1908900000000	19	89	"Howard County, IA"	2010		"4,956"	"4,609"	347	7
CN1909100000000	19	91	"Humboldt County, IA"	2010		"5,075"	"4,795"	280	5.5
CN1909300000000	19	93	"Ida County, IA"	2010		"3,881"	"3,677"	204	5.3
CN1909500000000	19	95	"Iowa County, IA"	2010		"8,407"	"7,857"	550	6.5
CN1909700000000	19	97	"Jackson County, IA"	2010		"11,055"	"10,228"	827	7.5
CN1909900000000	19	99	"Jasper County, IA"	2010		"17,343"	"15,868"	"1,475"	8.5
CN1910100000000	19	101	"Jefferson County, IA"	2010		"7,950"	"7,285"	665	8.4
CN1910300000000	19	103	"Johnson County, IA"	2010		"80,334"	"76,793"	"3,541"	4.4
CN1910500000000	19	105	"Jones County, IA"	2010		"10,733"	"10,027"	706	6.6
CN1910700000000	19	107	"Keokuk County, IA"	2010		"5,537"	"5,159"	378	6.8
CN1910900000000	19	109	"Kossuth County, IA"	2010		"8,917"	"8,475"	442	5
CN1911100000000	19	111	"Lee County, IA"	2010		"17,233"	"15,526"	"1,707"	9.9
CN1911300000000	19	113	"Linn County, IA"	2010		"123,130"	"115,551"	"7,579"	6.2
CN1911500000000	19	115	"Louisa County, IA"	2010		"5,924"	"5,501"	423	7.1
CN1911700000000	19	117	"Lucas County, IA"	2010		"4,616"	"4,346"	270	5.8
CN1911900000000	19	119	"Lyon County, IA"	2010		"6,963"	"6,707"	256	3.7
CN1912100000000	19	121	"Madison County, IA"	2010		"8,272"	"7,684"	588	7.1
CN1912300000000	19	123	"Mahaska County, IA"	2010		"11,651"	"10,815"	836	7.2
CN1912500000000	19	125	"Marion County, IA"	2010		"17,168"	"16,075"	"1,093"	6.4
CN1912700000000	19	127	"Marshall County, IA"	2010		"20,268"	"18,818"	"1,450"	7.2
CN1912900000000	19	129	"Mills County, IA"	2010		"7,787"	"7,433"	354	4.5
CN1913100000000	19	131	"Mitchell County, IA"	2010		"5,580"	"5,270"	310	5.6
CN1913300000000	19	133	"Monona County, IA"	2010		"4,553"	"4,183"	370	8.1
CN1913500000000	19	135	"Monroe County, IA"	2010		"4,289"	"3,987"	302	7
CN1913700000000	19	137	"Montgomery County, IA"	2010		"5,084"	"4,648"	436	8.6
CN1913900000000	19	139	"Muscatine County, IA"	2010		"23,302"	"21,484"	"1,818"	7.8
CN1914100000000	19	141	"O'Brien County, IA"	2010		"7,845"	"7,447"	398	5.1
CN1914300000000	19	143	"Osceola County, IA"	2010		"3,253"	"3,065"	188	5.8
CN1914500000000	19	145	"Page County, IA"	2010		"7,573"	"7,055"	518	6.8
CN1914700000000	19	147	"Palo Alto County, IA"	2010		"5,135"	"4,829"	306	6
CN1914900000000	19	149	"Plymouth County, IA"	2010		"14,438"	"13,757"	681	4.7
CN1915100000000	19	151	"Pocahontas County, IA"	2010		"4,017"	"3,802"	215	5.4
CN1915300000000	19	153	"Polk County, IA"	2010		"239,913"	"224,678"	"15,235"	6.4
CN1915500000000	19	155	"Pottawattamie County, IA"	2010		"48,801"	"46,191"	"2,610"	5.3
CN1915700000000	19	157	"Poweshiek County, IA"	2010		"10,255"	"9,625"	630	6.1
